t,i,v
0.23,-0.343976193927241,-5
0.24,-0.357203098654635,-5
0.25,-0.370297734334755,-5
0.26,-0.383261423658075,-5
0.27,-0.39609547608816,-5
0.28,-0.408801187993946,-5
0.29,-0.421379842780673,-5
0.3,-0.433832711019533,-5
0.31,-0.446161050576004,-5
0.32,-0.458366106736911,-5
0.33,-0.470449112336208,-5
0.34,-0.482411287879513,-5
0.35,-0.494253841667384,-5
0.36,-0.505977969917377,-5
0.37,-0.51758485688487,-5
0.38,-0.529075674982688,-5
0.39,-0.540451584899528,-5
0.4,-0.551713735717199,-5
0.41,-0.562863265026694,-5
0.42,-0.573901299043093,-5
0.43,-0.584828952719329,-5
0.44,-0.595647329858803,-5
0.45,-0.606357523226881,-5
0.46,-0.616960614661279,-5
0.47,-0.627457675181333,-5
0.48,-0.637849765096186,-5
